Standardized Name,Reach,Sentiment Score
Meg Adonis,13288636,38.1
Jenniffer B. Austria ,1341600,37.5
Atty. Ignacio Bunye ,1590570,100
Jaime J. Yambao,2615800,27.27
James A. Loyola,2892248,40
Keisha Ta-Asan,18476802,57.89
BusinessWorld,345000,25
Richmond Mercurio,2835690,14.29
Revin Mikhael D. Ochave,415900,-14.29
Maria Romero,15226,14.29
Ian Nicolas P. Cigaral,25913121,28.57
Niña Arceo ,1807300,11.11
Derco Rosal,1674124,33.33
VG Cabuag,191400,0
Earl Alfaro ,1013526,11.11
Knowledge Channel Foundation,3425,0
Komfie Manalo,9600,25
Aaron Michael C. Sy,235800,50
Manila Business,89200,0
The Good News Pilipinas Team,6500,100
INQUIRER.net BrandRoom,1972900,66.67
Thony Lesaca,292000,66.67
Dexter Barro II,837062,0
Gadgets Magazine,4400,100
Jeline Malasig,65300,33.33
Katlene O. Cacho-Laurejas ,610600,25
Posted Humarang,189,100
Mel Tiangco,531000,0
Eric Montelibano,63800,0
Jel Santos,609062,0
Rizal Raoul S. Reyes,63800,0
Katherine K. Chan,105800,0
Ashley Erika O. Jose,130000,0
Cai Ordinario ,127600,0
Ervin Santiago,241800,100
Lala Roque ,272000,50
Jing Castañeda,2400000,0
Mhelissa Angcana,18,0
Myla Iglesias,43300,0
Luisa Maria Jacinta C. Jocson,130000,0
Gabriell Christel Galang,456000,0
Nikki De Guzman ,144000,0
Manila Standard,151600,50
Ruth Cabal,288000,0
Benjamin Pulta (Philippine News Agency),431700,50
Emil Sumangil ,272000,100
Jiggy D. Manicad,576000,0
Joann Villanueva,700900,50
Jay-r Santiago,2800000,-100
Jomar Lacson,106000,0
Belle Alba,1100,100
Jordeene Lagare,1700000,0
PNA,28600,0
Dianne Sampang,1700000,0
Corrie S. Narisma,6300,100
Jinji Quiambao,5100,100
Doris Dumlao-Abadilla,1700000,0
Noah James,1300,0
Doris Franche-Borja,209583,0
Drew Correspondent,201,0
Christine Boton,272615,0
Shiela Bertillo,4300,0
Kristine Agustin,7000,100
Bianca Rose Dabu,29000,-100
Edd1994,8,0
Reine Alberto ,63800,0
Lee C. Chipongian,13300,0
Beatriz Marie D. Cruz,65000,0
Stephen Cuunjieng,237800,0
Tessdrive Ph,6,0
Maeanne Los Baños (and co-hosts),288000,0
The Philippine Daily Inquirer ,171600,0
Elizabeth Brixey,272615,0
Malaya Business News Team,13300,0
Bill Velasco,272615,100
Andrea E. San Juan,63800,100
Anna Leah E. Gonzales,385200,100
Nonoy Taclino,82,0
Boo Chanco,272615,0
Marco Beech,272615,0
Jason Mago,30000,100
Brix Lelis,1200000,0
Pramudya Prahmana,30000,100
AutoIndustriya.com,44800,0
Marita Moaje,315700,0
Ricardo Pamintuan,35400,0
Marlet D. Salazar,556,100
Brooke Villanueva,35400,0
Ruben D. Manahan IV,943100,0
Gadgetmatch,7600,100
Shemaegomez,985,0
Business Week National,211,100
Tatiana Maligro,647700,0
Tessa Prieto,270375,0
Gtcontentsteam,66,100
TGFM,400,0
Miguel R. Camus,6300,100
Jimmyley Guzman,86100,0
Ariel Alegado,736,0
Inquirer Editorial,4,0
Myrna M. Velasco,228000,-100
Bernardo M. Villegas,228000,0
Neil Pagulayan,673,0
William Mcnamara,288,100
Newsrepublic Gmail.Com,157,0
The Manila Times,2615800,27.27
Kathy San Gabriel (and co-hosts),272000,100
